nace_r2,sizeclas,unit,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
A,GE10,AVG_3Y,BG	0.8 p	0.7 p	0.6 	0.6 	0.6 	0.6 	0.8 	0.7 	: 	: 	: 
A,GE10,AVG_3Y,CZ	5.8 	3.9 	2.6 	1.8 	1.4 	1.0 	1.0 	1.1 	1.9 	: 	: 
A,GE10,AVG_3Y,DE	2.5 	2.1 	1.7 	1.4 	1.5 	1.5 	: 	: 	: 	: 	: 
A,GE10,AVG_3Y,EE	0.8 	0.7 	0.4 	0.4 	0.4 	0.4 	0.5 	0.5 	1.1 	: 	: 
A,GE10,AVG_3Y,FI	1.5 	0.7 	0.4 	0.7 b	1.7 b	2.5 b	2.6 	1.8 	: 	: 	: 
A,GE10,AVG_3Y,HR	2.0 b	1.6 b	0.9 b	0.4 	0.2 	0.4 	0.3 	: 	: 	: 	: 
A,GE10,AVG_3Y,HU	0.8 p	0.5 	0.6 	0.5 	0.6 	0.4 	0.4 	0.3 	0.4 	0.5 	0.6 
A,GE10,AVG_3Y,LT	0.9 	0.7 	0.5 	0.3 	0.3 	0.3 	0.3 	0.2 	0.4 	: 	: 
A,GE10,AVG_3Y,LU	1.7 	1.4 	1.1 	0.8 	0.7 	0.6 	0.7 	0.7 	0.8 	: 	: 
A,GE10,AVG_3Y,LV	1.7 	1.6 	1.3 	1.1 	0.7 	0.7 	0.5 	0.5 	0.5 	: 	: 
A,GE10,AVG_3Y,NO	0.9 	0.9 	1.0 	0.9 	0.9 	1.0 	1.0 	: 	: 	: 	: 
A,GE10,AVG_3Y,PL	0.3 	0.2 	0.2 	0.2 	0.2 	0.2 	0.2 	0.3 	: 	: 	: 
A,GE10,AVG_3Y,RO	0.6 	0.6 	0.6 	0.5 	0.4 	0.6 	0.7 	1.1 	: 	: 	: 
A,GE10,AVG_3Y,SE	1.8 	1.8 	: c	: c	: c	0.8 	0.9 	0.8 	: 	: 	: 
A,GE10,AVG_3Y,SK	0.3 	0.2 	0.1 	0.0 	0.0 	0.1 	0.1 	0.1 	0.2 	: 	: 
A,GE10,AVG_A,BG	0.9 p	0.8 p	0.7 	0.7 	0.6 	0.5 	0.8 	0.4 	1.1 	0.4 	: 
A,GE10,AVG_A,CZ	8.5 	5.8 	3.2 	2.6 	1.9 	1.0 	1.2 	0.8 	0.9 	1.6 	3.2 
A,GE10,AVG_A,DE	2.7 	2.8 	2.1 	1.5 	1.4 	1.3 	1.7 	1.6 	: 	: 	: 
A,GE10,AVG_A,EE	0.7 	1.2 	0.4 	0.5 	0.3 	0.4 	0.5 	0.4 	0.7 	0.6 	2.1 
A,GE10,AVG_A,FI	2.9 	1.0 	0.7 	0.3 	0.1 	1.6 b	3.4 	2.4 	2.0 	1.0 	: 
A,GE10,AVG_A,HR	2.2 	2.2 	1.8 b	0.7 	0.2 	0.2 	0.3 	0.6 	0.2 	: 	: 
A,GE10,AVG_A,HU	1.2 p	0.7 	0.6 	0.3 	0.8 	0.3 	0.6 	0.3 	0.3 	0.3 	0.7 
A,GE10,AVG_A,LT	0.8 	1.0 	0.9 	0.3 	0.4 	0.4 	0.3 	0.3 	0.2 	0.2 	0.9 
A,GE10,AVG_A,LU	2.0 	1.9 	1.1 	1.2 	0.9 	0.5 	0.7 	0.7 	0.7 	0.5 	1.1 
A,GE10,AVG_A,LV	1.9 	1.8 	1.4 	1.5 	1.0 	0.9 	0.3 	1.0 	0.1 	0.4 	1.0 
A,GE10,AVG_A,NO	1.0 	0.8 	0.9 	1.0 	1.0 	0.7 	0.8 	1.3 	0.9 	: 	: 
A,GE10,AVG_A,PL	0.4 	0.3 	0.2 	0.2 	0.2 	0.1 	0.2 	0.2 	0.3 	0.3 	: 
A,GE10,AVG_A,RO	0.6 	0.6 	0.6 	0.7 	0.4 	0.4 	0.4 	0.9 	0.9 	1.5 	: 
A,GE10,AVG_A,SE	1.1 	2.6 	1.7 	1.0 	: c	0.6 	0.8 	0.9 	0.9 	0.6 	: 
A,GE10,AVG_A,SK	0.5 	0.2 	0.2 	0.0 	0.0 	0.1 	0.0 	0.1 	0.2 	0.1 	0.2 
A,TOTAL,AVG_3Y,BG	0.7 p	0.6 p	0.6 	0.6 	0.6 	0.6 	0.7 	0.7 	: 	: 	: 
A,TOTAL,AVG_3Y,CZ	6.7 	4.5 	2.9 	2.0 	1.5 	1.2 	1.1 	1.3 	2.1 	: 	: 
A,TOTAL,AVG_3Y,DE	2.3 	2.2 	2.1 	1.9 	1.7 	1.7 	: 	: 	: 	: 	: 
A,TOTAL,AVG_3Y,EE	0.8 	0.7 	0.5 	0.6 	0.8 	0.7 	0.7 	0.6 	1.1 	: 	: 
A,TOTAL,AVG_3Y,FI	1.4 	0.9 	0.7 	1.1 b	1.7 b	2.2 b	2.6 	2.4 	: 	: 	: 
A,TOTAL,AVG_3Y,HR	1.9 b	1.5 b	0.8 b	0.4 	0.3 	: 	: 	: 	: 	: 	: 
A,TOTAL,AVG_3Y,HU	0.9 p	0.6 	0.6 	0.5 	0.5 	0.4 	0.4 	0.3 	0.5 	0.6 	0.8 
A,TOTAL,AVG_3Y,LT	0.9 	0.8 	0.6 	0.4 	0.4 	0.4 	0.3 	0.2 	0.4 	: 	: 
A,TOTAL,AVG_3Y,LU	1.3 	1.1 	0.8 	0.8 	0.6 	0.7 	0.7 	0.7 	0.6 	: 	: 
A,TOTAL,AVG_3Y,LV	1.4 	1.3 	1.1 	0.9 	0.6 	0.6 	0.4 	0.4 	0.4 	: 	: 
A,TOTAL,AVG_3Y,NL	1.5 p	1.2 p	1.0 p	1.0 p	1.0 	1.0 	1.1 	1.2 	1.6 	2.3 	2.9 
A,TOTAL,AVG_3Y,NO	1.0 	0.9 	0.9 	1.1 	1.0 	1.3 	1.2 	1.4 	: 	: 	: 
A,TOTAL,AVG_3Y,PL	0.6 	0.5 	0.4 	0.3 	0.3 	0.3 	0.4 	0.4 	: 	: 	: 
A,TOTAL,AVG_3Y,RO	0.6 	0.6 	0.6 	0.5 	0.4 	0.5 	0.7 	1.0 	: 	: 	: 
A,TOTAL,AVG_3Y,SE	1.7 	1.6 	: c	: c	: c	0.9 	1.0 	0.9 	: 	: 	: 
A,TOTAL,AVG_3Y,SK	0.7 	0.4 	0.3 	0.2 	0.2 	0.1 	0.1 	0.2 	0.3 	: 	: 
A,TOTAL,AVG_A,BE	: 	: 	: 	: 	: 	: 	: 	8.1 	5.0 	: 	: 
A,TOTAL,AVG_A,BG	0.7 p	0.7 p	0.7 	0.6 	0.5 	0.7 	0.7 	0.5 	1.0 	0.5 	: 
A,TOTAL,AVG_A,CZ	9.5 	6.9 	3.8 	2.9 	2.0 	1.1 	1.4 	1.0 	1.0 	1.8 	3.5 
A,TOTAL,AVG_A,DE	2.7 	2.1 	2.2 	2.3 	1.9 	1.4 	1.9 	1.7 	: 	: 	: 
A,TOTAL,AVG_A,EE	0.7 	1.2 	0.5 	0.4 	0.7 	0.7 	0.9 	0.4 	0.8 	0.5 	1.9 
A,TOTAL,AVG_A,FI	2.2 	1.4 	0.5 	0.8 	0.8 	1.8 b	2.6 	2.3 	2.9 	1.9 	: 
A,TOTAL,AVG_A,HR	2.1 	2.1 	1.7 b	0.6 	0.2 	0.3 	0.3 	: 	: 	: 	: 
A,TOTAL,AVG_A,HU	1.2 p	0.8 	0.6 	0.3 	0.7 	0.3 	0.5 	0.3 	0.3 	0.4 	0.8 
A,TOTAL,AVG_A,LT	0.8 	1.2 	0.9 	0.4 	0.4 	0.5 	0.4 	0.3 	0.2 	0.2 	0.9 
A,TOTAL,AVG_A,LU	1.6 	1.5 	0.8 	1.0 	0.7 	0.6 	0.6 	0.9 	0.7 	0.5 	0.8 
A,TOTAL,AVG_A,LV	1.5 	1.3 	1.3 	1.2 	0.7 	0.7 	0.3 	0.9 	0.1 	0.3 	0.9 
A,TOTAL,AVG_A,NL	2.0 p	1.5 p	1.0 p	1.0 p	0.9 	1.0 	1.0 	1.1 	1.1 	1.4 	2.4 
A,TOTAL,AVG_A,NO	1.2 	1.0 	0.8 	1.0 	0.9 	1.2 	0.9 	1.8 	1.0 	: c	: 
A,TOTAL,AVG_A,PL	0.7 	0.7 	0.5 	0.4 	0.3 	0.3 	0.3 	0.3 	0.5 	0.5 	: 
A,TOTAL,AVG_A,RO	0.6 	0.6 	0.6 	0.6 	0.4 	0.4 	0.3 	0.9 	0.9 	1.4 	: 
A,TOTAL,AVG_A,SE	1.5 	1.8 	1.8 	1.2 	: c	0.8 	0.9 	1.1 	1.0 	0.6 	: 
A,TOTAL,AVG_A,SK	1.1 	0.5 	0.5 	0.2 	0.2 	0.1 	0.1 	0.1 	0.2 	0.3 	0.3 
A-S,GE10,AVG_3Y,BG	0.9 p	0.9 p	0.8 	0.8 	0.7 	0.7 	0.8 	0.8 	: 	: 	: 
A-S,GE10,AVG_3Y,CZ	3.9 	2.7 	2.0 	1.3 	0.9 	0.8 	0.8 	0.9 	1.6 	: 	: 
A-S,GE10,AVG_3Y,DE	2.6 	2.4 	2.1 	2.0 	1.9 	1.9 	: 	: 	: 	: 	: 
A-S,GE10,AVG_3Y,EE	2.0 	1.8 	1.6 	1.5 	1.4 	1.4 	1.2 	1.0 	1.5 	: 	: 
A-S,GE10,AVG_3Y,FI	1.7 	1.4 	1.2 	1.2 b	1.5 b	1.7 b	1.9 	1.7 	: 	: 	: 
A-S,GE10,AVG_3Y,HR	1.6 b	1.4 b	1.2 b	0.9 	0.9 	1.0 	1.0 	: 	: 	: 	: 
A-S,GE10,AVG_3Y,HU	2.3 p	2.0 	1.7 	1.4 	1.3 	1.2 	1.1 	1.0 	1.1 	1.2 	1.3 
A-S,GE10,AVG_3Y,LT	1.5 	1.4 	1.1 	1.0 	0.9 	0.9 	0.8 	0.7 	0.9 	: 	: 
A-S,GE10,AVG_3Y,LU	1.5 	1.4 	1.2 	0.9 	0.8 	0.7 	0.7 	0.6 	0.5 	: 	: 
A-S,GE10,AVG_3Y,LV	2.2 	1.9 	1.7 	1.7 	1.7 	1.6 	1.3 	1.1 	1.2 	: 	: 
A-S,GE10,AVG_3Y,NO	2.1 	2.0 	2.0 	2.2 	2.4 	2.6 	2.6 	: 	: 	: 	: 
A-S,GE10,AVG_3Y,PL	0.8 	0.6 	0.5 	0.4 	0.4 	0.4 	0.4 	0.5 	: 	: 	: 
A-S,GE10,AVG_3Y,PT	0.8 	0.7 	0.7 	0.6 	0.5 	0.4 	0.4 	: 	: 	: 	: 
A-S,GE10,AVG_3Y,RO	1.3 	1.3 	1.2 	1.0 	0.8 	0.7 	0.6 	0.7 	: 	: 	: 
A-S,GE10,AVG_3Y,SE	2.3 	2.1 	1.8 	1.6 	1.5 	1.4 	1.3 	1.1 	: 	: 	: 
A-S,GE10,AVG_3Y,SI	1.6 	1.3 b	1.0 b	0.8 b	0.7 	0.6 	0.6 	0.6 	0.6 	: 	: 
A-S,GE10,AVG_3Y,SK	1.1 	1.1 	1.0 	1.0 	0.9 	0.9 	0.9 	0.9 	1.1 	: 	: 
A-S,GE10,AVG_A,BG	1.0 p	0.9 p	0.9 	0.9 	0.8 	0.7 	0.8 	0.7 	0.8 	0.8 	: 
A-S,GE10,AVG_A,CZ	5.4 	3.5 	2.7 	2.1 	1.2 	0.8 	0.9 	0.8 	0.8 	1.0 	3.1 
A-S,GE10,AVG_A,DE	2.9 	2.6 	2.3 	2.2 	1.9 	1.8 	2.0 	2.1 	: 	: 	: 
A-S,GE10,AVG_A,EE	2.0 	2.1 	1.8 	1.5 	1.5 	1.4 	1.4 	1.3 	1.0 	0.9 	2.5 
A-S,GE10,AVG_A,FI	2.0 	1.7 	1.4 	1.1 	1.2 	1.2 b	2.0 	2.0 	1.8 	1.3 	: 
A-S,GE10,AVG_A,HR	1.7 	1.5 	1.5 b	1.0 	0.9 	0.9 	1.0 	1.1 	0.9 	: 	: 
A-S,GE10,AVG_A,HU	2.8 p	2.3 	1.9 	1.6 	1.4 	1.3 	1.1 	1.1 	1.1 	0.9 	1.3 
A-S,GE10,AVG_A,LT	1.5 	1.6 	1.3 	1.1 	0.9 	0.9 	0.8 	0.9 	0.6 	0.5 	1.7 
A-S,GE10,AVG_A,LU	1.7 	1.5 	1.4 	1.2 	0.9 	0.7 	0.7 	0.8 	0.5 	0.4 	0.6 
A-S,GE10,AVG_A,LV	2.6 	2.2 	1.9 	1.7 	1.6 	1.8 	1.6 	1.4 	1.0 	1.0 	1.7 
A-S,GE10,AVG_A,NO	2.4 	2.1 	1.9 	2.0 	2.3 	2.4 	2.6 	2.8 	2.5 	: 	: 
A-S,GE10,AVG_A,PL	1.0 	0.8 	0.6 	0.5 	0.4 	0.3 	0.4 	0.4 	0.5 	0.5 	: 
A-S,GE10,AVG_A,PT	0.9 	0.9 	0.7 	0.6 	0.6 	0.4 	0.4 	0.4 	0.4 	: 	: 
A-S,GE10,AVG_A,RO	1.3 	1.3 	1.4 	1.2 	0.9 	0.8 	0.6 	0.7 	0.6 	0.9 	: 
A-S,GE10,AVG_A,SE	2.4 	2.3 	2.1 	1.8 	1.5 	1.4 	1.4 	1.4 	1.1 	0.7 	: 
A-S,GE10,AVG_A,SI	2.0 	1.7 	1.2 	0.9 b	0.9 	0.7 	0.6 	0.7 	0.5 	0.5 	0.9 
A-S,GE10,AVG_A,SK	1.2 	1.1 	1.0 	1.0 	1.0 	0.9 	0.9 	0.9 	0.8 	1.0 	1.4 
A-S,TOTAL,AVG_3Y,BG	0.9 p	0.8 p	0.8 	0.7 	0.7 	0.7 	0.7 	0.7 	: 	: 	: 
A-S,TOTAL,AVG_3Y,CZ	4.1 	3.0 	2.1 	1.5 	1.1 	0.9 	0.9 	1.0 	1.7 	: 	: 
A-S,TOTAL,AVG_3Y,DE	2.7 	2.5 	2.4 	2.3 	2.2 	2.2 	: 	: 	: 	: 	: 
A-S,TOTAL,AVG_3Y,EE	1.9 	1.7 	1.5 	1.4 	1.4 	1.4 	1.2 	1.1 	1.5 	: 	: 
A-S,TOTAL,AVG_3Y,FI	1.9 	1.6 	1.4 	1.3 b	1.6 b	1.9 b	2.1 	1.8 	: 	: 	: 
A-S,TOTAL,AVG_3Y,HR	1.7 b	1.5 b	1.2 b	0.9 	0.9 	: 	: 	: 	: 	: 	: 
A-S,TOTAL,AVG_3Y,HU	2.2 p	1.9 	1.6 	1.4 	1.2 	1.1 	1.0 	1.0 	1.1 	1.2 	1.3 
A-S,TOTAL,AVG_3Y,LT	1.4 	1.3 	1.1 	1.0 	0.9 	0.9 	0.8 	0.7 	0.9 	: 	: 
A-S,TOTAL,AVG_3Y,LU	1.5 	1.4 	1.2 	1.0 	0.8 	0.8 	0.7 	0.6 	0.5 	: 	: 
A-S,TOTAL,AVG_3Y,LV	2.0 	1.6 	1.5 	1.5 	1.4 	1.4 	1.1 	1.0 	1.1 	: 	: 
A-S,TOTAL,AVG_3Y,MK	1.5 	1.4 	1.4 	1.4 	: 	: 	: 	: 	: 	: 	: 
A-S,TOTAL,AVG_3Y,NL	2.5 p	2.1 p	1.7 p	1.4 p	1.3 	1.4 	1.5 	1.6 	2.0 	2.5 	2.9 
A-S,TOTAL,AVG_3Y,NO	2.1 	2.0 	2.0 	2.2 	2.4 	2.6 	2.6 	2.6 	: 	: 	: 
A-S,TOTAL,AVG_3Y,PL	1.0 	0.8 	0.6 	0.5 	0.4 	0.5 	0.5 	0.6 	: 	: 	: 
A-S,TOTAL,AVG_3Y,PT	0.8 	0.7 	0.7 	0.5 	0.5 	0.4 	0.4 	: 	: 	: 	: 
A-S,TOTAL,AVG_3Y,RO	1.3 	1.2 	1.1 	0.9 	0.7 	0.7 	0.6 	0.7 	: 	: 	: 
A-S,TOTAL,AVG_3Y,SE	2.3 	2.1 	1.9 	1.6 	1.5 	1.5 	1.4 	1.2 	: 	: 	: 
A-S,TOTAL,AVG_3Y,SI	2.1 	1.8 b	1.4 b	1.1 b	0.9 	0.8 	0.8 	0.7 	0.8 	: 	: 
A-S,TOTAL,AVG_3Y,SK	1.1 	1.0 	0.9 	0.9 	0.8 	0.8 	0.8 	0.8 	1.0 	: 	: 
A-S,TOTAL,AVG_A,BE	: 	: 	: 	: 	: 	: 	: 	1.9 	1.5 	: 	: 
A-S,TOTAL,AVG_A,BG	0.9 p	0.9 p	0.9 	0.8 	0.7 	0.7 	0.7 	0.7 	0.7 	0.7 	: 
A-S,TOTAL,AVG_A,CZ	5.6 	3.9 	2.9 	2.2 	1.3 	0.9 	1.0 	0.9 	0.8 	1.2 	3.2 
A-S,TOTAL,AVG_A,DE	3.0 	2.7 	2.4 	2.4 	2.3 	2.1 	2.2 	2.3 	: 	: 	: 
A-S,TOTAL,AVG_A,EE	1.8 	2.1 	1.7 	1.4 	1.4 	1.4 	1.4 	1.3 	1.0 	0.9 	2.5 
A-S,TOTAL,AVG_A,FI	2.2 	1.9 	1.6 	1.3 	1.3 	1.3 b	2.2 	2.1 	1.9 	1.6 	: 
A-S,TOTAL,AVG_A,HR	1.7 	1.7 	1.6 b	1.1 	0.9 	0.8 	1.0 	: 	: 	: 	: 
A-S,TOTAL,AVG_A,HU	2.7 p	2.2 	1.9 	1.5 	1.4 	1.2 	1.0 	1.1 	1.0 	0.9 	1.3 
A-S,TOTAL,AVG_A,LT	1.4 	1.6 	1.3 	1.1 	0.9 	0.9 	0.9 	0.9 	0.6 	0.5 	1.7 
A-S,TOTAL,AVG_A,LU	1.7 	1.5 	1.4 	1.2 	0.9 	0.7 	0.8 	0.8 	0.6 	0.4 	0.6 
A-S,TOTAL,AVG_A,LV	2.4 	1.9 	1.6 	1.5 	1.4 	1.5 	1.3 	1.2 	0.9 	0.9 	1.6 
A-S,TOTAL,AVG_A,MK	1.6 	1.5 	1.3 	1.5 	1.5 	1.2 	: 	: 	: 	: 	: 
A-S,TOTAL,AVG_A,NL	2.9 p	2.5 p	2.0 p	1.7 p	1.4 	1.2 	1.4 	1.6 	1.5 	1.7 	2.9 
A-S,TOTAL,AVG_A,NO	2.3 	2.1 	1.9 	2.0 	2.2 	2.5 	2.6 	2.8 	2.5 	: c	: 
A-S,TOTAL,AVG_A,PL	1.2 	1.0 	0.8 	0.6 	0.5 	0.4 	0.4 	0.6 	0.6 	0.6 	: 
A-S,TOTAL,AVG_A,PT	0.9 	0.9 	0.7 	0.6 	0.6 	0.4 	0.4 	0.4 	0.4 	: 	: 
A-S,TOTAL,AVG_A,RO	1.2 	1.2 	1.3 	1.1 	0.9 	0.7 	0.6 	0.6 	0.6 	0.9 	: 
A-S,TOTAL,AVG_A,SE	2.5 	2.3 	2.1 	1.9 	1.6 	1.4 	1.5 	1.5 	1.2 	0.8 	: 
A-S,TOTAL,AVG_A,SI	2.5 	2.2 	1.7 	1.3 b	1.2 	0.8 	0.8 	0.8 	0.7 	0.7 	1.0 
A-S,TOTAL,AVG_A,SK	1.2 	1.1 	1.0 	0.9 	0.9 	0.8 	0.8 	0.8 	0.8 	1.0 	1.3 
B,GE10,AVG_3Y,BE	2.0 	2.1 	1.7 	1.3 	0.8 	: 	: 	: 	: 	: 	: 
B,GE10,AVG_3Y,BG	1.6 p	1.5 p	1.5 	1.7 	1.8 	1.5 	1.2 	0.8 	: 	: 	: 
B,GE10,AVG_3Y,CY	0.8 	0.5 	0.4 	0.2 	0.2 	0.6 	0.9 	1.0 	: 	: 	: 
B,GE10,AVG_3Y,CZ	0.8 	0.4 	0.3 	0.2 	0.3 	0.3 	0.3 	0.2 	0.5 	: 	: 
B,GE10,AVG_3Y,DE	0.8 	0.6 	0.5 	0.5 	0.5 	0.4 	: 	: 	: 	: 	: 
B,GE10,AVG_3Y,DK	3.6 p	2.8 	2.4 	2.0 	2.4 	2.7 	3.1 	: 	: 	: 	: 
B,GE10,AVG_3Y,EE	0.5 	0.6 	0.4 	0.4 	0.5 	0.5 	0.4 	0.2 	0.1 	: 	: 
B,GE10,AVG_3Y,EL	0.1 	0.0 	0.1 	: 	: 	: 	1.2 	0.4 	: 	: 	: 
B,GE10,AVG_3Y,ES	0.1 p	0.1 	0.1 	0.1 b	0.1 b	0.2 b	0.2 	0.2 	: 	: 	: 
B,GE10,AVG_3Y,FI	: c	: c	: c	0.5 	1.3 	: 	: 	: 	: 	: 	: 
B,GE10,AVG_3Y,FR	0.5 	0.2 	0.2 	0.2 	0.2 	0.2 	0.2 	0.2 	0.1 	0.2 	0.3 
B,GE10,AVG_3Y,HR	0.3 b	0.4 b	0.3 b	: c	: c	0.2 	0.2 	: 	: 	: 	: 
B,GE10,AVG_3Y,HU	1.2 p	0.4 	0.4 	0.3 	0.5 	0.4 	0.4 	0.2 	0.2 	0.4 	1.0 
B,GE10,AVG_3Y,IE	0.2 p	0.2 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	: 	: 
