Country Name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Unnamed: 63
Austria,197337879194.631,213377771503.858,261695778781.038,300904221504.842,315974418604.651,335998557270.104,388691445387.35297,430294287388.31104,400172297860.517,391892746544.69,431120310088.82,409425234155.26294,430068712971.867,441885415805.825,382065930307.97797,390799991147.46796,416595666396.636,,
Belgium,237841968680.09,258860436664.784,319002821670.42896,370885026074.0,387365750528.541,409813197842.178,471821105940.323,518625897172.99,484552792442.345,483548031197.108,527008453886.92896,497884216568.867,520925468952.938,530770977633.615,455039563132.776,467545548764.57104,492681283049.248,,
Bulgaria,14075616789.4905,16276456427.5397,20982685981.4163,25957970922.4811,29636617749.8253,34130122490.8613,44411476557.0329,54409138498.3548,51884481410.3931,50610058210.3696,57418414504.0882,53903022339.0276,55555171009.772,56814543481.2102,50201314894.5817,53240950226.2443,58220973782.7715,,
Cyprus,10397896174.8634,11420230769.2308,14547327293.3182,17320550000.0,18433416241.761,20072788859.6161,23968765398.3028,27839724622.8212,25942664629.0636,25562264900.6622,27426994717.8204,25041397918.5404,24084559214.0202,23364707443.2798,19680625485.1946,20453761061.9469,22054225828.2623,,
Czech_Republic,67523642262.4009,81910771993.9155,99627140274.3805,119162172468.268,136280689891.224,155463807112.889,189227050759.595,235718586901.129,206179982164.40198,207477857918.91898,227948349666.35397,207376427020.815,209402444996.10397,207818330723.835,186829940545.75897,195305084919.138,215725534372.371,,
Germany,1950648769574.94,2079136081309.99,2505733634311.51,2819245095604.67,2861410272354.18,3002446368084.31,3439953462907.2,3752365607148.09,3418005001389.27,3417094562648.95,3757698281117.55,3543983909148.01,3752513503278.41,3890606893346.69,3375611100742.22,3477796274496.8,3677439129776.6,,
Denmark,164791416350.267,178635160297.415,218095997085.477,251373036671.06198,264467308109.19,282884912894.33,319423370134.284,353361056079.716,321241396034.248,321995350346.50104,344003209695.606,327148899962.146,343584385594.132,352993633221.281,301298464861.385,306899653409.601,324871968807.469,,
Spain,625975838926.175,705145868624.13,906853273137.698,1069555500372.49,1157276458151.97,1264551499184.54,1479341637010.68,1635015380108.39,1499099749930.54,1431616749640.29,1488067258325.2,1336018949805.58,1361854206549.39,1376910811040.88,1197789902774.43,1237255019653.86,1311320015515.99,,
Estonia,6245069734.13302,7322069511.161341,9833870709.12376,12059201242.236,14006088297.4754,16963625015.6818,22237061730.0849,24194039255.8957,19652492636.8436,19490936349.1753,23170239900.7654,23043864510.0543,25137153149.4377,26224622450.8302,22566956982.229,23337907618.5174,25921079612.3337,,
Finland,129250111856.82301,139552983248.635,171071106094.808,196768065557.487,204436015420.96802,216552502822.732,255384615384.615,283742493042.332,251499027507.64102,247799815768.477,273674236772.815,256706466091.089,269980111642.898,272609288689.575,232464833065.554,238677672281.61102,251884887972.76602,,
France,1376465324384.79,1494286655373.61,1840480812641.08,2115742488204.62,2196126103718.44,2318593651988.46,2657213249384.07,2918382891460.38,2690222283967.77,2642609548930.36,2861408170264.61,2683825225092.63,2811077725703.59,2852165760630.27,2438207896251.84,2465134297438.91,2582501307216.42,,
United_Kingdom,1621510004318.41,1768408273381.29,2038395102040.82,2398555474185.28,2520701818181.82,2692612695492.18,3074359743897.56,2890564338235.29,2382825985355.97,2441173394729.62,2619700404733.37,2662085168498.93,2739818680930.19,3022827781881.39,2885570309160.86,2650850178102.14,2622433959604.16,,
Greece,136191353467.562,153830947016.751,201924270316.02698,240521260988.32898,247783001865.44,273317737046.795,318497936901.177,354460802548.704,330000252153.37604,299361576558.217,287797822093.178,245670666639.047,239862011450.103,237029579260.722,195541761243.14398,192690813126.86,200288277129.038,,
Croatia,23289671100.5932,26868450814.9263,34667270715.9072,41523418157.6131,45347181466.3022,50375095636.2372,60093896109.0123,70474602563.8396,62754161039.069,59844207748.9473,62404149309.6847,56548374546.3441,58147688052.2904,57671307486.8132,49490142433.1046,51640880494.2725,55213087270.6341,,
Hungary,53821315066.1024,67716887203.4136,85324771841.4118,104066609517.92801,113035361316.74901,115295199391.606,139850794387.281,157998423131.739,130593960612.172,130922638689.071,140782064609.18698,127856647107.82,135215704418.96301,140118140454.711,122879042001.915,125816640420.569,139135029758.29,,
Ireland,109133512304.25099,127945379258.423,164285112866.817,193870350136.578,211650764830.245,232085535064.60898,269917519846.70102,275020023436.356,236311336482.35602,221951354761.53198,239018536581.675,225571853194.34802,239389340720.488,258099014042.117,290617008367.572,304819018067.107,333730764773.18,,
Italy,1162317852348.99,1266510634293.24,1569649661399.55,1798314750434.57,1852661982340.5,1942633797516.0,2203053380782.92,2390729163615.06,2185160183384.27,2125058244242.92,2276292404600.52,2072823157059.76,2130491320658.68,2151732868243.21,1832868490534.11,1859383610248.72,1934797937411.33,,
Lithuania,12252498921.0186,14278357283.7419,18802576988.1557,22649930576.2543,26125575942.2814,30216060233.4044,39738180076.6283,47850551148.8365,37440673477.8982,37120517693.8622,43476873412.803,42848195256.2142,46417340374.5203,48516371720.8346,41508609232.7778,42773029835.3222,47168303744.1329,,
Luxembourg,21272418791.9463,23616328816.1114,29557325056.4334,34685281847.5292,37347394602.6614,42414308116.9239,50888134410.0739,55849686538.7432,51370543206.4462,53212476812.2957,60004630234.4135,56677961787.0717,61739352212.3049,66327344188.88901,57784495265.4378,58631324559.4484,62404461274.6636,,
Latvia,8350252966.19655,9546441564.34743,11748433157.0533,14373269155.7174,16922504044.803999,21447021570.1028,30901399261.387,35596016664.2304,26169854045.0375,23757368290.0955,28223552824.7508,28119996053.2511,30254677296.9181,31335013751.5424,26972863393.6384,27571513793.3984,30264454641.8004,,
Malta,4331870647.71535,4689832689.83269,5456583589.39342,6062780269.0583,6394851386.64345,6757119558.3992,7880509170.54476,8977149553.24447,8528202278.41067,8741059602.64901,9505636641.64581,9205742001.79879,10146688738.6529,11216758081.9535,10554669617.5194,11274020600.9269,12518134319.0893,,
Netherlands,426573601789.709,465368906455.863,571863431151.2421,650532654581.574,678533764457.157,726649102998.369,839419655078.018,936228211513.11,857932759099.75,836389937229.197,893757287201.688,828946812396.788,866680000367.264,879635084124.987,757999453314.269,777227541581.307,826200282501.1271,,
Poland,190521263343.023,198680637254.90198,217513049291.61,255102252843.395,306125173852.573,344748646558.391,429063549983.742,533815789473.68396,439796160379.475,479257883741.752,528725113045.826,500284003684.372,524201151607.188,545285410921.99896,476970902628.57794,471992087443.889,526465839002.568,,
