Country Name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Unnamed: 63
Austria,31991.9580149592,32360.7203057378,32506.6506202177,33189.1958434482,33703.5881518685,34695.6253149701,35872.4074909647,36282.539822166604,34825.3088128076,35379.9290336805,36291.474744576204,36372.2049050823,36167.6841603887,36183.5207894452,36170.8385308802,36300.9593588769,37094.779873614105,,
Belgium,30471.629065859703,30875.462568900803,30984.6273751503,31972.1480775082,32462.6772407084,33057.4834579356,33947.423463865896,33944.078215696696,32913.369785911,33509.0283349606,33641.8106719345,33476.8635236856,33380.3435484995,33732.887155449396,34016.5610301613,34322.7574262083,34791.6628004687,,
Bulgaria,6185.75622707151,6696.838306626601,7098.14519698014,7612.17645519032,8216.063461258249,8847.81020236489,9567.72247976167,10215.3322475453,9912.65565469438,10110.2425915737,10370.12773518,10433.5982155763,10543.9762481392,10798.929891148,11245.3052671702,11770.2714798434,12308.367831445801,,
Cyprus,18652.857126566498,19067.1194848019,19303.167030253102,19917.1680540674,20363.555122268303,20929.8702336327,21476.6824181196,21753.3738774929,20801.8217032678,20531.897194030702,20078.9534611773,19170.5490511549,18074.944978705,18018.4491802971,18479.9637592254,19020.2463475899,19608.649795176298,,
Czech_Republic,292100.653788612,297500.930673549,308308.084816183,323336.995485285,343985.96602011,366567.128027851,384852.237555574,391910.985908657,370969.622946751,378299.493718501,384229.819719499,380623.616599521,378657.02922656,388528.758244265,408353.110863499,418139.23696510796,435044.61151831603,,
Germany,29127.916995674303,29078.9858634225,28856.5719732878,29200.523993695297,29423.5896305906,30546.7459383508,31584.940077337997,31987.5530045958,30266.811043552203,31549.9738129079,33316.6087372451,33417.7307703771,33489.8201830094,33994.060692124796,34288.5217750067,34673.935045629,35296.231694782,,
Denmark,315561.014506465,316021.355184804,316392.280302617,323995.845701832,330654.393301733,342465.4863689,344050.229994371,340283.394140222,321860.478590356,326429.249832768,329433.673956642,328939.69710128,330628.581076316,334283.398083628,337263.083218512,341213.96436109603,346342.720634331,,
Spain,22096.301011603,22413.7841980261,22713.735265384,23032.1610916759,23489.4591238594,24059.7861325816,24508.6967566556,24390.3994128403,23311.352992969903,23207.5357016591,22894.250196988,22209.5392315084,21902.359811107,22271.0920158529,23053.3722244921,23788.153453542902,24467.7985678442,,
Estonia,8167.02160844022,8718.33240294342,9423.85921267655,10077.1306741037,11084.9851082283,12295.9121182646,13309.1998090521,12621.7113283324,10784.0076731996,11052.804671510901,11928.67792795,12487.093935416799,12774.2937958129,13178.076748989199,13389.9352063658,13662.2267991093,14328.7858424301,,
Finland,31258.8184135414,31707.1229116344,32262.3342273779,33431.7616176361,34243.7500190618,35495.9147540535,37177.8048374654,37271.8103797588,34026.6696835342,34884.9003384451,35616.242090228596,34941.6352618069,34517.368355637795,34157.7570460341,34091.4213278472,34719.468608009396,35530.6177141776,,
France,29392.4127738075,29505.7966629284,29537.5066170095,30137.8189996172,30392.3851813546,30898.012364742597,31432.592126993102,31318.462302183798,30241.290796717596,30683.7689471934,31170.632575675,31076.8083369869,31095.4020551326,31239.804620875402,31441.8162764141,31688.4676776025,32140.5599588359,,
United_Kingdom,23519.6039328567,23995.8881972301,24678.7871383275,25118.9859789236,25719.4915445894,26158.178429045296,26566.9748424815,26234.149228578397,24946.1205720895,25170.7582556358,25337.560658245802,25534.7278050496,25884.909925623102,26475.2953701692,26881.8361294542,27207.249067829503,27514.4981648844,,
Greece,18205.2040336096,18850.145743606103,19894.888841305,20850.1178031392,20913.6206173775,22029.4881511152,22692.7925153096,22556.774230646603,21529.9634186209,20324.1180357657,18495.3630375206,17238.073995580402,16800.6994940635,17038.1031365594,17100.83936773,17130.1580989778,17386.7322849171,,
Croatia,59920.886908594104,63068.748915262804,66588.73362500769,69210.9754480682,72006.5813937701,75545.74463991259,79609.0391112971,81257.5759356668,75425.0930196878,74504.178142649,76629.85174934441,75096.0576802884,74935.184641526,75175.2045838091,77616.8659784076,80924.6946698908,84270.9152628645,,
Hungary,2270386.14935486,2379961.24208159,2478646.40809386,2608470.41895902,2728356.44530892,2837845.72601344,2854602.37881099,2884069.3853313,2697897.59982639,2722453.63835663,2775552.23557564,2744063.10945105,2809309.93925856,2935978.33189141,3042064.08781932,3118580.36448457,3253878.30231629,,
