indic_bt,nace_r2,unit,geo\time	2018M04 	2018M05 	2018M06 	2018M07 	2018M08 	2018M09 	2018M10 	2018M11 	2018M12 	2019M01 	2019M02 	2019M03 
PROD,B-D,I2015_SCA,AT	111.0 	114.3 	112.6 	112.8 	111.9 	112.1 	114.1 	113.1 	113.8 	115.4 	116.3 p	: 
PROD,B-D,I2015_SCA,BE	108.1 	110.1 	107.2 	108.8 	112.3 	107.2 	107.8 	112.6 	107.8 	113.4 	113.4 	: 
PROD,B-D,I2015_SCA,BG	106.1 	108.3 	109.5 	108.2 	108.5 	107.7 	108.1 	108.6 	106.4 	110.2 	111.9 p	: 
PROD,B-D,I2015_SCA,CH	110.6 	111.4 	115.5 	110.1 	109.1 	107.6 	113.3 	115.8 	112.7 	: 	: 	: 
PROD,B-D,I2015_SCA,CY	123.3 	127.0 	127.4 	124.4 	124.5 	127.1 	128.2 	127.5 	125.9 	128.5 	127.2 	: 
PROD,B-D,I2015_SCA,CZ	110.5 	113.9 	115.2 	115.5 	113.3 	114.5 	113.7 	115.5 	114.3 	112.9 	113.4 	: 
PROD,B-D,I2015_SCA,DE	105.5 	107.4 	106.7 	104.9 	105.5 	105.0 	104.4 	102.9 	103.8 	103.6 	103.2 	: 
PROD,B-D,I2015_SCA,DK	108.0 	105.3 	105.3 	108.8 	105.5 	108.7 	109.0 	108.8 	120.3 	110.9 	109.5 	: 
PROD,B-D,I2015_SCA,EA19	105.3 	106.7 	106.1 	105.2 	106.5 	106.0 	106.0 	104.5 	103.6 	105.6 s	105.4 s	: 
PROD,B-D,I2015_SCA,EE	113.3 	112.1 	109.9 	108.8 	110.1 	110.9 	111.1 	115.9 	115.9 	116.1 	114.3 	115.0 
PROD,B-D,I2015_SCA,EL	106.9 p	107.9 p	107.3 p	108.6 p	110.1 p	109.0 p	107.6 p	111.9 p	110.8 p	113.0 p	109.9 p	: 
PROD,B-D,I2015_SCA,ES	105.4 p	106.2 p	105.5 p	105.4 p	106.2 p	105.2 p	106.5 p	104.5 p	103.2 p	107.0 p	105.8 p	: 
PROD,B-D,I2015_SCA,EU28	105.8 	107.0 	106.7 	106.0 	107.0 	106.6 	106.6 	105.5 	105.1 	106.5 s	106.5 s	: 
PROD,B-D,I2015_SCA,FI	108.6 	110.5 	110.2 	109.6 	110.7 	112.6 	111.0 	111.1 	112.7 	112.9 	111.8 	: 
PROD,B-D,I2015_SCA,FR	102.9 	102.7 	103.6 	104.0 	104.1 	102.8 	103.8 	102.9 	103.0 	104.3 	104.7 	: 
PROD,B-D,I2015_SCA,HR	104.0 	106.4 	110.5 	105.9 	106.2 	105.3 	105.8 	105.4 	102.3 	112.1 	109.5 	108.8 
PROD,B-D,I2015_SCA,HU	108.5 	110.5 	109.5 	107.3 	111.6 	109.4 	111.7 	110.6 	113.5 	114.2 	115.3 	: 
PROD,B-D,I2015_SCA,IE	98.5 	103.3 	97.2 	97.6 	105.9 	108.6 	106.7 	97.1 	84.9 	98.0 	97.9 p	: 
PROD,B-D,I2015_SCA,IT	105.9 	106.5 	106.7 	104.8 	106.8 	106.6 	106.5 	104.8 	104.1 	106.1 	106.9 	: 
PROD,B-D,I2015_SCA,LT	103.9 	116.2 	117.0 	116.0 	117.8 	114.0 	121.2 	119.5 	121.0 	120.9 	115.2 	: 
PROD,B-D,I2015_SCA,LU	99.3 s	101.8 s	101.3 s	101.0 s	102.5 s	101.1 ps	103.7 ps	101.5 ps	101.8 ps	102.7 ps	102.1 ps	102.9 ps
PROD,B-D,I2015_SCA,LV	114.9 	114.7 	115.2 	117.0 	119.5 	115.3 	114.4 	115.1 	118.6 	114.2 	115.2 	: 
PROD,B-D,I2015_SCA,ME	108.6 s	105.1 s	119.0 s	106.4 s	110.8 s	116.3 s	113.3 s	119.4 s	113.5 s	101.5 s	104.1 s	: 
PROD,B-D,I2015_SCA,MK	104.8 	108.6 	113.2 	110.3 	106.6 	110.6 	111.5 	111.7 	112.8 	116.1 	114.0 	: 
